part,model,benchmark,lang,scorer,prompt_variant,subset,n,accuracy,ci_low,ci_high,parse_fail_rate,wall_clock_sec
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT_CHARNORM,v1_en,CS,200,0.295,0.235,0.360125,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT_CHARNORM,v1_en,CA,200,0.29,0.225,0.355,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT_TOKNORM,v1_en,all,400,0.3475,0.3,0.395,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT_TOKNORM,v1_en,CS,200,0.375,0.309875,0.445,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,CONT_TOKNORM,v1_en,CA,200,0.32,0.255,0.385,,11.0
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT_TOKNORM,v1_en,all,400,0.315,0.27,0.3575,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT_TOKNORM,v1_en,CS,200,0.355,0.29,0.42,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,CONT_TOKNORM,v1_en,CA,200,0.275,0.215,0.34,,10.9
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT_TOKNORM,v1_en,all,400,0.3,0.255,0.345,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT_TOKNORM,v1_en,CS,200,0.33,0.27,0.4,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,CONT_TOKNORM,v1_en,CA,200,0.27,0.21,0.335,,16.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,GEN,v1_en,all,400,0.41,0.36,0.4575,0.0,4.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,GEN,v1_en,CS,200,0.375,0.305,0.44,0.0,4.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,GEN,v1_en,CA,200,0.445,0.384875,0.515,0.0,4.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,GEN,v1_en,all,400,0.3625,0.315,0.4125,0.0,4.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,GEN,v1_en,CS,200,0.36,0.29,0.425,0.0,4.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,GEN,v1_en,CA,200,0.365,0.3,0.43,0.0,4.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,GEN,v1_en,all,400,0.24,0.2,0.2825,0.0,6.5
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,GEN,v1_en,CS,200,0.235,0.179875,0.290125,0.0,6.5
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,GEN,v1_en,CA,200,0.245,0.185,0.305,0.0,6.5
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,all,400,0.485,0.4375,0.5325,,1.7
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,CS,200,0.435,0.365,0.505,,1.7
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,CA,200,0.535,0.465,0.605,,1.7
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,all,400,0.47,0.42,0.52,,1.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CS,200,0.46,0.39,0.525,,1.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CA,200,0.48,0.41,0.55,,1.8
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,all,400,0.26,0.2175,0.305,,2.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CS,200,0.245,0.185,0.305,,2.3
1,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CA,200,0.275,0.215,0.34,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,all,400,0.485,0.4375,0.5325,,1.7
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,CS,200,0.435,0.365,0.505,,1.7
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,v1_en,CA,200,0.535,0.465,0.605,,1.7
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,de,LETTER,v1_en,all,400,0.4275,0.38,0.4775,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,de,LETTER,v1_en,CS,200,0.41,0.34,0.48,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,de,LETTER,v1_en,CA,200,0.445,0.38,0.515,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,all,400,0.47,0.42,0.52,,1.8
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CS,200,0.46,0.39,0.525,,1.8
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CA,200,0.48,0.41,0.55,,1.8
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,ar,LETTER,v1_en,all,400,0.33,0.2825,0.3775,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,ar,LETTER,v1_en,CS,200,0.31,0.249875,0.38,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,ar,LETTER,v1_en,CA,200,0.35,0.28,0.42,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v1_en,all,400,0.31,0.265,0.3575,,4.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v1_en,CS,200,0.28,0.22,0.345,,4.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v1_en,CA,200,0.34,0.275,0.405,,4.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,id,LETTER,v1_en,all,400,0.385,0.3375,0.4325,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,id,LETTER,v1_en,CS,200,0.365,0.299875,0.43,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,id,LETTER,v1_en,CA,200,0.405,0.335,0.475,,2.1
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,all,400,0.26,0.2175,0.305,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CS,200,0.245,0.185,0.305,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CA,200,0.275,0.215,0.34,,2.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,yo,LETTER,v1_en,all,400,0.2775,0.234937,0.32,,3.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,yo,LETTER,v1_en,CS,200,0.26,0.2,0.325,,3.3
2,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,yo,LETTER,v1_en,CA,200,0.295,0.235,0.36,,3.3
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_ABCD,all,400,0.485,0.4375,0.5325,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_ABCD,CS,200,0.435,0.365,0.505,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_ABCD,CA,200,0.535,0.465,0.605,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_ABCD,all,400,0.47,0.42,0.52,,3.7
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_ABCD,CS,200,0.46,0.39,0.525,,3.7
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_ABCD,CA,200,0.48,0.41,0.55,,3.7
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_ABCD,all,400,0.31,0.265,0.3575,,7.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_ABCD,CS,200,0.28,0.22,0.345,,7.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_ABCD,CA,200,0.34,0.275,0.405,,7.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_ABCD,all,400,0.26,0.2175,0.305,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_ABCD,CS,200,0.245,0.185,0.305,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_ABCD,CA,200,0.275,0.215,0.34,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_BCDA,all,400,0.4875,0.44,0.5375,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_BCDA,CS,200,0.47,0.4,0.54,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_BCDA,CA,200,0.505,0.44,0.575,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_BCDA,all,400,0.45,0.4025,0.5,,2.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_BCDA,CS,200,0.42,0.355,0.495,,2.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_BCDA,CA,200,0.48,0.41,0.55,,2.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_BCDA,all,400,0.295,0.25,0.34,,7.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_BCDA,CS,200,0.315,0.254875,0.38,,7.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_BCDA,CA,200,0.275,0.215,0.34,,7.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_BCDA,all,400,0.31,0.265,0.3575,,4.1
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_BCDA,CS,200,0.295,0.23,0.365,,4.1
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_BCDA,CA,200,0.325,0.26,0.395,,4.1
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_CDAB,all,400,0.46,0.41,0.5075,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_CDAB,CS,200,0.47,0.4,0.54,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_CDAB,CA,200,0.45,0.38,0.515,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_CDAB,all,400,0.4325,0.3825,0.4775,,3.1
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_CDAB,CS,200,0.41,0.345,0.475,,3.1
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_CDAB,CA,200,0.455,0.385,0.525,,3.1
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_CDAB,all,400,0.27,0.2275,0.3125,,7.7
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_CDAB,CS,200,0.26,0.2,0.32,,7.7
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_CDAB,CA,200,0.28,0.22,0.34,,7.7
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_CDAB,all,400,0.2675,0.225,0.3125,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_CDAB,CS,200,0.265,0.205,0.33,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_CDAB,CA,200,0.27,0.21,0.33,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_DABC,all,400,0.5125,0.465,0.5625,,3.5
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_DABC,CS,200,0.47,0.4,0.54,,3.5
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,en,LETTER,perm_DABC,CA,200,0.555,0.485,0.63,,3.5
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_DABC,all,400,0.45,0.4025,0.497562,,2.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_DABC,CS,200,0.415,0.345,0.48,,2.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,perm_DABC,CA,200,0.485,0.41,0.555,,2.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_DABC,all,400,0.2925,0.2475,0.3375,,8.3
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_DABC,CS,200,0.305,0.245,0.365,,8.3
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,perm_DABC,CA,200,0.28,0.215,0.345,,8.3
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_DABC,all,400,0.27,0.23,0.315,,4.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_DABC,CS,200,0.285,0.225,0.35,,4.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,perm_DABC,CA,200,0.255,0.195,0.32,,4.8
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v2_native,all,400,0.495,0.445,0.545,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v2_native,CS,200,0.465,0.395,0.535,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,zh,LETTER,v2_native,CA,200,0.525,0.45,0.590125,,2.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v2_native,all,400,0.32,0.275,0.365,,16.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v2_native,CS,200,0.315,0.255,0.38,,16.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,hi,LETTER,v2_native,CA,200,0.325,0.26,0.39,,16.6
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v2_native,all,400,0.2775,0.235,0.3225,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v2_native,CS,200,0.32,0.255,0.385,,4.9
3,Qwen/Qwen2.5-0.5B-Instruct,global_mmlu_lite,sw,LETTER,v2_native,CA,200,0.235,0.175,0.295,,4.9
5,Qwen/Qwen3-0.6B,global_mmlu_lite,en,LETTER,v1_en,all,400,0.5025,0.4525,0.55,,4.2
5,Qwen/Qwen3-0.6B,global_mmlu_lite,en,LETTER,v1_en,CS,200,0.465,0.395,0.535,,4.2
5,Qwen/Qwen3-0.6B,global_mmlu_lite,en,LETTER,v1_en,CA,200,0.54,0.47,0.605,,4.2
5,Qwen/Qwen3-0.6B,global_mmlu_lite,de,LETTER,v1_en,all,400,0.45,0.3975,0.4975,,6.5
5,Qwen/Qwen3-0.6B,global_mmlu_lite,de,LETTER,v1_en,CS,200,0.39,0.324875,0.46,,6.5
5,Qwen/Qwen3-0.6B,global_mmlu_lite,de,LETTER,v1_en,CA,200,0.51,0.44,0.58,,6.5
5,Qwen/Qwen3-0.6B,global_mmlu_lite,zh,LETTER,v1_en,all,400,0.49,0.4375,0.5375,,4.1
5,Qwen/Qwen3-0.6B,global_mmlu_lite,zh,LETTER,v1_en,CS,200,0.44,0.374875,0.505,,4.1
5,Qwen/Qwen3-0.6B,global_mmlu_lite,zh,LETTER,v1_en,CA,200,0.54,0.47,0.61,,4.1
5,Qwen/Qwen3-0.6B,global_mmlu_lite,ar,LETTER,v1_en,all,400,0.3625,0.315,0.41,,5.4
5,Qwen/Qwen3-0.6B,global_mmlu_lite,ar,LETTER,v1_en,CS,200,0.33,0.265,0.395125,,5.4
5,Qwen/Qwen3-0.6B,global_mmlu_lite,ar,LETTER,v1_en,CA,200,0.395,0.33,0.46,,5.4
5,Qwen/Qwen3-0.6B,global_mmlu_lite,hi,LETTER,v1_en,all,400,0.335,0.2875,0.38,,12.9
5,Qwen/Qwen3-0.6B,global_mmlu_lite,hi,LETTER,v1_en,CS,200,0.305,0.24,0.370125,,12.9
5,Qwen/Qwen3-0.6B,global_mmlu_lite,hi,LETTER,v1_en,CA,200,0.365,0.3,0.43,,12.9
5,Qwen/Qwen3-0.6B,global_mmlu_lite,id,LETTER,v1_en,all,400,0.47,0.4225,0.5175,,5.5
5,Qwen/Qwen3-0.6B,global_mmlu_lite,id,LETTER,v1_en,CS,200,0.43,0.365,0.5,,5.5
5,Qwen/Qwen3-0.6B,global_mmlu_lite,id,LETTER,v1_en,CA,200,0.51,0.44,0.58,,5.5
5,Qwen/Qwen3-0.6B,global_mmlu_lite,sw,LETTER,v1_en,all,400,0.26,0.2175,0.3025,,6.3
5,Qwen/Qwen3-0.6B,global_mmlu_lite,sw,LETTER,v1_en,CS,200,0.215,0.16,0.275,,6.3
5,Qwen/Qwen3-0.6B,global_mmlu_lite,sw,LETTER,v1_en,CA,200,0.305,0.235,0.37,,6.3
5,Qwen/Qwen3-0.6B,global_mmlu_lite,yo,LETTER,v1_en,all,400,0.2775,0.2325,0.3225,,9.6
5,Qwen/Qwen3-0.6B,global_mmlu_lite,yo,LETTER,v1_en,CS,200,0.245,0.189875,0.305,,9.6
5,Qwen/Qwen3-0.6B,global_mmlu_lite,yo,LETTER,v1_en,CA,200,0.31,0.245,0.375,,9.6
S1,Qwen/Qwen2.5-0.5B-Instruct,belebele,eng_Latn,LETTER,v1_en,all,300,0.58,0.523333,0.636667,,2.6
S1,Qwen/Qwen2.5-0.5B-Instruct,belebele,hin_Deva,LETTER,v1_en,all,300,0.323333,0.27,0.376667,,6.0
S1,Qwen/Qwen2.5-0.5B-Instruct,belebele,swh_Latn,LETTER,v1_en,all,300,0.296667,0.243333,0.346667,,4.2
S1,Qwen/Qwen2.5-0.5B-Instruct,belebele,zho_Hans,LETTER,v1_en,all,300,0.55,0.496583,0.606667,,2.4
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,en,LETTER,v1_en,all,400,0.2625,0.2175,0.307562,,4.0
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,en,LETTER,v1_en,CS,200,0.255,0.195,0.315125,,4.0
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,en,LETTER,v1_en,CA,200,0.27,0.21,0.33,,4.0
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,de,LETTER,v1_en,all,400,0.225,0.185,0.27,,4.2
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,de,LETTER,v1_en,CS,200,0.245,0.19,0.305,,4.2
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,de,LETTER,v1_en,CA,200,0.205,0.15,0.265,,4.2
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,zh,LETTER,v1_en,all,400,0.235,0.195,0.2775,,4.8
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CS,200,0.25,0.195,0.31,,4.8
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,zh,LETTER,v1_en,CA,200,0.22,0.165,0.275,,4.8
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,ar,LETTER,v1_en,all,400,0.25,0.21,0.295,,7.6
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,ar,LETTER,v1_en,CS,200,0.24,0.18,0.3,,7.6
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,ar,LETTER,v1_en,CA,200,0.26,0.2,0.325,,7.6
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,hi,LETTER,v1_en,all,400,0.2275,0.1875,0.27,,9.2
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,hi,LETTER,v1_en,CS,200,0.225,0.165,0.285,,9.2
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,hi,LETTER,v1_en,CA,200,0.23,0.17,0.285,,9.2
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,id,LETTER,v1_en,all,400,0.27,0.225,0.3175,,4.0
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,id,LETTER,v1_en,CS,200,0.29,0.23,0.355,,4.0
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,id,LETTER,v1_en,CA,200,0.25,0.195,0.31,,4.0
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,sw,LETTER,v1_en,all,400,0.215,0.175,0.2575,,4.9
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CS,200,0.26,0.2,0.32,,4.9
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,sw,LETTER,v1_en,CA,200,0.17,0.12,0.225,,4.9
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,yo,LETTER,v1_en,all,400,0.225,0.185,0.2675,,7.5
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,yo,LETTER,v1_en,CS,200,0.22,0.165,0.28,,7.5
S3,HuggingFaceTB/SmolLM2-360M-Instruct,global_mmlu_lite,yo,LETTER,v1_en,CA,200,0.23,0.175,0.29,,7.5
